Student_ID,First_Name,Last_Name,Gender,Email,Phone,Major,Year,Created_date,Updated_date,created by,updated by
1,Amy,Wall,Other,paula55@bryant.biz,+46 884 505 7079,Computer Science,100L,0000-00-00 00:00:00,0000-00-00 00:00:00,admin,"system"
2,Christopher,Morales,Female,alilacey@gmail.com,+33 871 621 0939,Electrical Engineering,200L,0000-00-00 00:00:00,0000-00-00 00:00:00,registrar,"admin"
3,Michael,Duncan,Female,andersoncharles@hale.com,+54 197 791 2783,Physics,400L,0000-00-00 00:00:00,0000-00-00 00:00:00,admin,"admin"
4,Joshua,Miller,Female,rachel35@hotmail.com,+53 230 122 4215,Mathematics,100L,0000-00-00 00:00:00,0000-00-00 00:00:00,registrar,"registrar"
5,Kathleen,Johnson,Female,robert84@lambert-navarro.com,+33 653 498 4173,Physics,300L,0000-00-00 00:00:00,0000-00-00 00:00:00,registrar,"admin"
6,Ryan,Silva,Male,tracey86@gmail.com,+593 757 410 0439,Biology,100L,0000-00-00 00:00:00,0000-00-00 00:00:00,registrar,"admin"
7,Nicholas,Garrett,Other,sarah12@hotmail.com,+51 500 371 6584,Computer Science,100L,0000-00-00 00:00:00,0000-00-00 00:00:00,admin,"system"
8,Micheal,Porter,Female,jamie17@perkins-charles.net,+86 579 608 8317,Business Admin,400L,0000-00-00 00:00:00,0000-00-00 00:00:00,admin,"admin"
9,Ronald,Abbott,Other,myerskimberly@gmail.com,+86 107 596 4145,Physics,400L,0000-00-00 00:00:00,0000-00-00 00:00:00,system,"system"
10,Austin,Ponce,Female,moralesangel@hotmail.com,+1 203 472 6487,Mathematics,200L,0000-00-00 00:00:00,0000-00-00 00:00:00,registrar,"system"
11,Jack,Rogers,Male,wanda28@gmail.com,+504 896 685 6025,Physics,400L,0000-00-00 00:00:00,0000-00-00 00:00:00,system,"admin"
12,Gregory,Aguilar,Male,robertpark@hotmail.com,+63 262 130 9082,Physics,300L,0000-00-00 00:00:00,0000-00-00 00:00:00,system,"system"
